DATE,CPIAUCSL,CPILFESL
1/1/1947,21.48,missing
2/1/1947,21.62,missing
3/1/1947,22,missing
4/1/1947,22,missing
5/1/1947,21.95,missing
6/1/1947,22.08,missing
7/1/1947,22.23,missing
8/1/1947,22.4,missing
9/1/1947,22.84,missing
10/1/1947,22.91,missing
11/1/1947,23.06,missing
12/1/1947,23.41,missing
1/1/1948,23.68,missing
2/1/1948,23.67,missing
3/1/1948,23.5,missing
4/1/1948,23.82,missing
5/1/1948,24.01,missing
6/1/1948,24.15,missing
7/1/1948,24.4,missing
8/1/1948,24.43,missing
9/1/1948,24.36,missing
10/1/1948,24.31,missing
11/1/1948,24.16,missing
12/1/1948,24.05,missing
1/1/1949,24.01,missing
2/1/1949,23.91,missing
3/1/1949,23.91,missing
4/1/1949,23.92,missing
5/1/1949,23.91,missing
6/1/1949,23.92,missing
7/1/1949,23.7,missing
8/1/1949,23.7,missing
9/1/1949,23.75,missing
10/1/1949,23.67,missing
11/1/1949,23.7,missing
12/1/1949,23.61,missing
1/1/1950,23.51,missing
2/1/1950,23.61,missing
3/1/1950,23.64,missing
4/1/1950,23.65,missing
5/1/1950,23.77,missing
6/1/1950,23.88,missing
7/1/1950,24.07,missing
8/1/1950,24.2,missing
9/1/1950,24.34,missing
10/1/1950,24.5,missing
11/1/1950,24.6,missing
12/1/1950,24.98,missing
1/1/1951,25.38,missing
2/1/1951,25.83,missing
3/1/1951,25.88,missing
4/1/1951,25.92,missing
5/1/1951,25.99,missing
6/1/1951,25.93,missing
7/1/1951,25.91,missing
8/1/1951,25.86,missing
9/1/1951,26.03,missing
10/1/1951,26.16,missing
11/1/1951,26.32,missing
12/1/1951,26.47,missing
1/1/1952,26.45,missing
2/1/1952,26.41,missing
3/1/1952,26.39,missing
4/1/1952,26.46,missing
5/1/1952,26.47,missing
6/1/1952,26.53,missing
7/1/1952,26.68,missing
8/1/1952,26.69,missing
9/1/1952,26.63,missing
10/1/1952,26.69,missing
11/1/1952,26.69,missing
12/1/1952,26.71,missing
1/1/1953,26.64,missing
2/1/1953,26.59,missing
3/1/1953,26.63,missing
4/1/1953,26.69,missing
5/1/1953,26.7,missing
6/1/1953,26.77,missing
7/1/1953,26.79,missing
8/1/1953,26.85,missing
9/1/1953,26.89,missing
10/1/1953,26.95,missing
11/1/1953,26.85,missing
12/1/1953,26.87,missing
1/1/1954,26.94,missing
2/1/1954,26.99,missing
3/1/1954,26.93,missing
4/1/1954,26.86,missing
5/1/1954,26.93,missing
6/1/1954,26.94,missing
7/1/1954,26.86,missing
8/1/1954,26.85,missing
9/1/1954,26.81,missing
10/1/1954,26.72,missing
11/1/1954,26.78,missing
12/1/1954,26.77,missing
1/1/1955,26.77,missing
2/1/1955,26.82,missing
3/1/1955,26.79,missing
4/1/1955,26.79,missing
5/1/1955,26.77,missing
6/1/1955,26.71,missing
7/1/1955,26.76,missing
8/1/1955,26.72,missing
9/1/1955,26.85,missing
10/1/1955,26.82,missing
11/1/1955,26.88,missing
12/1/1955,26.87,missing
1/1/1956,26.83,missing
2/1/1956,26.86,missing
3/1/1956,26.89,missing
4/1/1956,26.93,missing
5/1/1956,27.03,missing
6/1/1956,27.15,missing
7/1/1956,27.29,missing
8/1/1956,27.31,missing
9/1/1956,27.35,missing
10/1/1956,27.51,missing
11/1/1956,27.51,missing
12/1/1956,27.63,missing
1/1/1957,27.67,28.5
2/1/1957,27.8,28.6
3/1/1957,27.86,28.7
4/1/1957,27.93,28.8
5/1/1957,28,28.8
6/1/1957,28.11,28.9
7/1/1957,28.19,29
8/1/1957,28.28,29
9/1/1957,28.32,29.1
10/1/1957,28.32,29.2
11/1/1957,28.41,29.3
12/1/1957,28.47,29.3
1/1/1958,28.64,29.3
2/1/1958,28.7,29.4
3/1/1958,28.87,29.5
4/1/1958,28.94,29.5
5/1/1958,28.94,29.5
6/1/1958,28.91,29.6
7/1/1958,28.89,29.6
8/1/1958,28.94,29.6
9/1/1958,28.91,29.7
10/1/1958,28.91,29.7
11/1/1958,28.95,29.8
12/1/1958,28.97,29.9
1/1/1959,29.01,29.9
2/1/1959,29,29.9
3/1/1959,28.97,30
4/1/1959,28.98,30
5/1/1959,29.04,30.1
6/1/1959,29.11,30.2
7/1/1959,29.15,30.2
8/1/1959,29.18,30.2
9/1/1959,29.25,30.3
10/1/1959,29.35,30.4
11/1/1959,29.35,30.4
12/1/1959,29.41,30.5
1/1/1960,29.37,30.5
2/1/1960,29.41,30.6
3/1/1960,29.41,30.6
4/1/1960,29.54,30.6
5/1/1960,29.57,30.6
6/1/1960,29.61,30.7
7/1/1960,29.55,30.6
8/1/1960,29.61,30.6
9/1/1960,29.61,30.6
10/1/1960,29.75,30.8
11/1/1960,29.78,30.8
12/1/1960,29.81,30.7
1/1/1961,29.84,30.8
2/1/1961,29.84,30.8
3/1/1961,29.84,30.9
4/1/1961,29.81,30.9
5/1/1961,29.84,30.9
6/1/1961,29.84,31
7/1/1961,29.92,31
8/1/1961,29.94,31.1
9/1/1961,29.98,31.1
10/1/1961,29.98,31.1
11/1/1961,29.98,31.2
12/1/1961,30.01,31.2
1/1/1962,30.04,31.2
2/1/1962,30.11,31.2
3/1/1962,30.17,31.3
4/1/1962,30.21,31.3
5/1/1962,30.24,31.4
6/1/1962,30.21,31.4
7/1/1962,30.22,31.4
8/1/1962,30.28,31.5
9/1/1962,30.42,31.5
10/1/1962,30.38,31.5
11/1/1962,30.38,31.5
12/1/1962,30.38,31.6
1/1/1963,30.44,31.5
2/1/1963,30.48,31.6
3/1/1963,30.51,31.7
4/1/1963,30.48,31.7
5/1/1963,30.51,31.7
6/1/1963,30.61,31.8
7/1/1963,30.69,31.8
8/1/1963,30.75,31.9
9/1/1963,30.72,31.9
10/1/1963,30.75,32
11/1/1963,30.78,32
12/1/1963,30.88,32.1
1/1/1964,30.94,32.2
2/1/1964,30.91,32.2
3/1/1964,30.94,32.2
4/1/1964,30.95,32.2
5/1/1964,30.98,32.2
6/1/1964,31.01,32.3
7/1/1964,31.02,32.3
8/1/1964,31.05,32.3
9/1/1964,31.08,32.3
10/1/1964,31.12,32.4
11/1/1964,31.21,32.5
12/1/1964,31.25,32.5
1/1/1965,31.28,32.6
2/1/1965,31.28,32.6
3/1/1965,31.31,32.6
4/1/1965,31.38,32.7
5/1/1965,31.48,32.7
6/1/1965,31.61,32.7
7/1/1965,31.58,32.7
8/1/1965,31.55,32.7
9/1/1965,31.62,32.8
10/1/1965,31.65,32.8
11/1/1965,31.75,32.9
12/1/1965,31.85,33
1/1/1966,31.88,33
2/1/1966,32.08,33.1
3/1/1966,32.18,33.1
4/1/1966,32.28,33.3
5/1/1966,32.35,33.4
6/1/1966,32.38,33.5
7/1/1966,32.45,33.6
8/1/1966,32.65,33.7
9/1/1966,32.75,33.8
10/1/1966,32.85,34
11/1/1966,32.88,34
12/1/1966,32.92,34.1
1/1/1967,32.9,34.2
2/1/1967,33,34.2
3/1/1967,33,34.3
4/1/1967,33.1,34.4
5/1/1967,33.1,34.5
6/1/1967,33.3,34.6
7/1/1967,33.4,34.7
8/1/1967,33.5,34.9
9/1/1967,33.6,35
10/1/1967,33.7,35.1
11/1/1967,33.9,35.2
12/1/1967,34,35.4
1/1/1968,34.1,35.5
2/1/1968,34.2,35.7
3/1/1968,34.3,35.8
4/1/1968,34.4,35.9
5/1/1968,34.5,36
6/1/1968,34.7,36.2
7/1/1968,34.9,36.4
8/1/1968,35,36.5
9/1/1968,35.1,36.7
10/1/1968,35.3,36.9
11/1/1968,35.4,37.1
12/1/1968,35.6,37.2
1/1/1969,35.7,37.3
2/1/1969,35.8,37.6
3/1/1969,36.1,37.8
4/1/1969,36.3,38.1
5/1/1969,36.4,38.1
6/1/1969,36.6,38.3
7/1/1969,36.8,38.5
8/1/1969,36.9,38.7
9/1/1969,37.1,38.9
10/1/1969,37.3,39.1
11/1/1969,37.5,39.2
12/1/1969,37.7,39.4
1/1/1970,37.9,39.6
2/1/1970,38.1,39.8
3/1/1970,38.3,40.1
4/1/1970,38.5,40.4
5/1/1970,38.6,40.5
6/1/1970,38.8,40.8
7/1/1970,38.9,40.9
8/1/1970,39,41.1
9/1/1970,39.2,41.3
10/1/1970,39.4,41.5
11/1/1970,39.6,41.8
12/1/1970,39.8,42
1/1/1971,39.9,42.1
2/1/1971,39.9,42.2
3/1/1971,40,42.2
4/1/1971,40.1,42.4
