hrwage,educ,female,fulltimely
20.961538,Some college,0,1.0
20.192308,HS diploma/GED,1,1.0
6.4102564,Some college,0,0.0
.,Less than HS,0,.
.,Some college,0,.
.,HS diploma/GED,1,.
14.285714,HS diploma/GED,1,1.0
0.0,Some college,0,0.0
.,HS diploma/GED,1,.
.,College degree,0,.
18.26923,Some college,1,1.0
.,HS diploma/GED,1,.
59.52381,Graduate degree,0,1.0
18.367348,College degree,1,1.0
8.653846,HS diploma/GED,0,1.0
59.13621,Graduate degree,0,1.0
.,College degree,1,.
.,Less than HS,1,.
.,Less than HS,0,.
.,.,1,.
.,.,1,.
19.711538,College degree,0,1.0
22.349272,College degree,1,1.0
.,.,0,.
12.0,HS diploma/GED,1,0.0
.,HS diploma/GED,1,.
0.0,HS diploma/GED,0,1.0
7.6923075,Some college,1,1.0
20.054945,College degree,0,1.0
.,.,1,.
.,College degree,1,.
.,HS diploma/GED,0,.
0.0,College degree,0,1.0
.,HS diploma/GED,0,.
.,HS diploma/GED,1,.
18.333334,HS diploma/GED,0,1.0
12.980769,Some college,1,1.0
21.634615,HS diploma/GED,0,1.0
.,Some college,1,.
8.653846,Some college,1,0.0
18.452381,Less than HS,0,1.0
.,Less than HS,0,.
18.26923,College degree,1,1.0
0.0,HS diploma/GED,0,1.0
.,Some college,1,.
20.879122,HS diploma/GED,0,1.0
.,HS diploma/GED,1,.
.,.,1,.
.,.,0,.
11.057693,HS diploma/GED,0,1.0
.,HS diploma/GED,1,.
.,.,1,.
.,.,1,.
8.653846,Some college,0,1.0
10.989011,Some college,1,1.0
4.6875,HS diploma/GED,1,1.0
8.173077,HS diploma/GED,1,1.0
8.333333,Less than HS,0,0.0
21.634615,Less than HS,0,1.0
.,College degree,0,.
.,College degree,0,.
43.26923,College degree,1,1.0
62.5,College degree,0,1.0
.,.,0,.
.,.,1,.
.,Less than HS,0,.
.,Some college,1,.
.,Some college,0,.
.,HS diploma/GED,1,.
2.8414772,HS diploma/GED,0,1.0
0.0,College degree,1,0.0
0.0,HS diploma/GED,1,1.0
8.974359,Some college,1,0.0
23.076923,Graduate degree,0,1.0
19.23077,College degree,1,1.0
.,Less than HS,1,.
.,.,1,.
12.019231,Graduate degree,1,1.0
17.54386,College degree,0,0.0
.,College degree,0,.
.,Some college,0,.
.,Some college,0,.
.,HS diploma/GED,1,.
4.079254,Some college,1,0.0
26.442308,HS diploma/GED,0,1.0
11.057693,HS diploma/GED,1,1.0
36.94056,Graduate degree,0,1.0
22.596153,College degree,1,1.0
.,.,1,.
.,.,0,.
.,Some college,1,.
.,Less than HS,0,.
.,HS diploma/GED,0,.
.,Some college,1,.
6.25,Less than HS,0,0.0
14.423077,HS diploma/GED,1,1.0
10.9375,Some college,1,1.0
.,Some college,0,.
.,Less than HS,0,.
0.0,Some college,0,0.0
.,Some college,1,.
11.217949,College degree,1,0.0
.,Some college,1,.
0.0,Some college,1,0.0
6.6666665,HS diploma/GED,1,0.0
24.475525,College degree,0,1.0
.,.,1,.
12.307693,Some college,0,1.0
.,HS diploma/GED,1,.
.,.,1,.
.,.,0,.
.,.,1,.
16.02564,Some college,0,1.0
74.3421,Some college,1,1.0
8.313397,Some college,0,1.0
.,Less than HS,0,.
.,College degree,1,.
48.077404,Some college,0,1.0
29.807692,College degree,1,1.0
14.423077,HS diploma/GED,0,1.0
15.144231,HS diploma/GED,1,1.0
34.511433,Some college,0,1.0
24.038462,Graduate degree,1,1.0
.,.,1,.
.,.,0,.
39.0625,Graduate degree,0,1.0
17.692308,Some college,0,1.0
17.521368,HS diploma/GED,1,1.0
15.625,HS diploma/GED,0,0.0
16.666666,HS diploma/GED,1,0.0
0.0,Some college,0,0.0
19.444445,Some college,1,0.0
.,Some college,1,.
19.65812,Less than HS,0,1.0
23.076923,HS diploma/GED,0,1.0
15.865385,HS diploma/GED,0,1.0
8.653846,Some college,1,1.0
22.596153,College degree,1,1.0
.,Less than HS,0,.
12.3626375,Some college,1,0.0
43.5,College degree,1,0.0
9.525,College degree,0,1.0
.,.,0,.
.,Less than HS,1,.
10.0,Less than HS,1,0.0
6.4423075,Graduate degree,1,1.0
9.0,Some college,0,0.0
.,HS diploma/GED,0,.
19.23077,HS diploma/GED,0,1.0
273.33334,HS diploma/GED,0,0.0
.,Some college,0,.
.,HS diploma/GED,1,.
16.208792,Graduate degree,0,1.0
19.65812,HS diploma/GED,0,1.0
.,HS diploma/GED,1,.
.,Less than HS,1,.
.,.,0,.
.,.,0,.
.,.,1,.
.,.,1,.
.,.,0,.
.,.,1,.
14.423077,Some college,1,1.0
