state,year,commodity,var,value
Alabama,2008,111 Agricultural Products,exports,472567854
Alabama,2008,111 Agricultural Products,imports,39758950
Alabama,2009,111 Agricultural Products,exports,286948958
Alabama,2009,111 Agricultural Products,imports,15946124
Alabama,2010,111 Agricultural Products,exports,509918522
Alabama,2010,111 Agricultural Products,imports,19987453
Alabama,2011,111 Agricultural Products,exports,288732808
Alabama,2011,111 Agricultural Products,imports,26527113
Alabama,2012,111 Agricultural Products,exports,141249927
Alabama,2012,111 Agricultural Products,imports,22192730
Alabama,2013,111 Agricultural Products,exports,119540237
Alabama,2013,111 Agricultural Products,imports,31230307
Alabama,2014,111 Agricultural Products,exports,310608467
Alabama,2014,111 Agricultural Products,imports,47832567
Alabama,2015,111 Agricultural Products,exports,293154165
Alabama,2015,111 Agricultural Products,imports,27395889
Alabama,2016,111 Agricultural Products,exports,339912537
Alabama,2016,111 Agricultural Products,imports,24414819
Alabama,2017,111 Agricultural Products,exports,261686577
Alabama,2017,111 Agricultural Products,imports,28139739
Alabama,2008,112 Livestock & Livestock Products,exports,86822564
Alabama,2008,112 Livestock & Livestock Products,imports,3148133
Alabama,2009,112 Livestock & Livestock Products,exports,82713196
Alabama,2009,112 Livestock & Livestock Products,imports,1050920
Alabama,2010,112 Livestock & Livestock Products,exports,86515613
Alabama,2010,112 Livestock & Livestock Products,imports,2110912
Alabama,2011,112 Livestock & Livestock Products,exports,85093968
Alabama,2011,112 Livestock & Livestock Products,imports,1246009
Alabama,2012,112 Livestock & Livestock Products,exports,85709316
Alabama,2012,112 Livestock & Livestock Products,imports,2256614
Alabama,2013,112 Livestock & Livestock Products,exports,90373725
Alabama,2013,112 Livestock & Livestock Products,imports,1057848
Alabama,2014,112 Livestock & Livestock Products,exports,84834304
Alabama,2014,112 Livestock & Livestock Products,imports,2681123
Alabama,2015,112 Livestock & Livestock Products,exports,51204346
Alabama,2015,112 Livestock & Livestock Products,imports,3113082
Alabama,2016,112 Livestock & Livestock Products,exports,48558786
Alabama,2016,112 Livestock & Livestock Products,imports,3774395
Alabama,2017,112 Livestock & Livestock Products,exports,57784280
Alabama,2017,112 Livestock & Livestock Products,imports,7818353
Alabama,2008,"113 Forestry Products, Nesoi",exports,61312814
Alabama,2008,"113 Forestry Products, Nesoi",imports,19918514
Alabama,2009,"113 Forestry Products, Nesoi",exports,29913187
Alabama,2009,"113 Forestry Products, Nesoi",imports,2266090
Alabama,2010,"113 Forestry Products, Nesoi",exports,29167019
Alabama,2010,"113 Forestry Products, Nesoi",imports,1728494
Alabama,2011,"113 Forestry Products, Nesoi",exports,27718174
Alabama,2011,"113 Forestry Products, Nesoi",imports,66932180
Alabama,2012,"113 Forestry Products, Nesoi",exports,22030137
Alabama,2012,"113 Forestry Products, Nesoi",imports,62310763
