countrycode,year,emp,avh
ABW,1950,,
ABW,1951,,
ABW,1952,,
ABW,1953,,
ABW,1954,,
ABW,1955,,
ABW,1956,,
ABW,1957,,
ABW,1958,,
ABW,1959,,
ABW,1960,,
ABW,1961,,
ABW,1962,,
ABW,1963,,
ABW,1964,,
ABW,1965,,
ABW,1966,,
ABW,1967,,
ABW,1968,,
ABW,1969,,
ABW,1970,,
ABW,1971,,
ABW,1972,,
ABW,1973,,
ABW,1974,,
ABW,1975,,
ABW,1976,,
ABW,1977,,
ABW,1978,,
ABW,1979,,
ABW,1980,,
ABW,1981,,
ABW,1982,,
ABW,1983,,
ABW,1984,,
ABW,1985,,
ABW,1986,,
ABW,1987,,
ABW,1988,,
ABW,1989,,
ABW,1990,,
ABW,1991,0.029219,
ABW,1992,0.031226246,
ABW,1993,0.03357685,
ABW,1994,0.035939999,
ABW,1995,0.038095742,
ABW,1996,0.039933756,
ABW,1997,0.041501001,
ABW,1998,0.041681252,
ABW,1999,0.041785933,
ABW,2000,0.041917998,
ABW,2001,0.04350448,
ABW,2002,0.045142554,
ABW,2003,0.046776343,
ABW,2004,0.048289001,
ABW,2005,0.049614172,
ABW,2006,0.050709322,
ABW,2007,0.051605001,
ABW,2008,0.050254069,
ABW,2009,0.048883516,
ABW,2010,0.047564432,
ABW,2011,0.048763458,
ABW,2012,0.049013838,
ABW,2013,0.049305312,
ABW,2014,0.049595829,
ABW,2015,0.049856722,
ABW,2016,0.050086554,
ABW,2017,0.050297756,
AGO,1950,,
AGO,1951,,
AGO,1952,,
AGO,1953,,
AGO,1954,,
AGO,1955,,
AGO,1956,,
AGO,1957,,
AGO,1958,,
AGO,1959,,
AGO,1960,,
AGO,1961,,
AGO,1962,,
AGO,1963,,
AGO,1964,,
AGO,1965,,
AGO,1966,,
AGO,1967,,
AGO,1968,,
AGO,1969,,
AGO,1970,3.422886133,
AGO,1971,3.456551313,
AGO,1972,3.50241971,
AGO,1973,3.563141346,
AGO,1974,3.733875036,
AGO,1975,3.958281279,
AGO,1976,4.086774826,
AGO,1977,4.111428738,
AGO,1978,4.209529877,
AGO,1979,4.290002823,
AGO,1980,4.300709724,
AGO,1981,4.429433346,
AGO,1982,4.567909718,
AGO,1983,4.658233643,
AGO,1984,4.760062695,
AGO,1985,4.893955231,
AGO,1986,5.005364895,
AGO,1987,5.132855892,
AGO,1988,5.250641346,
AGO,1989,5.386917591,
AGO,1990,5.530128002,
AGO,1991,5.660353661,
AGO,1992,5.829226971,
AGO,1993,6.004461288,
AGO,1994,6.161880493,
AGO,1995,6.308372021,
AGO,1996,6.447864532,
AGO,1997,6.605723381,
AGO,1998,6.773012638,
AGO,1999,6.970297337,
AGO,2000,7.207794666,
AGO,2001,7.466683865,
AGO,2002,7.729255676,
AGO,2003,8.002744675,
AGO,2004,8.254398346,
AGO,2005,8.791111946,
AGO,2006,9.355514526,
AGO,2007,9.949316025,
AGO,2008,10.57834816,
AGO,2009,11.25105476,
AGO,2010,11.95004272,
AGO,2011,12.70890522,
AGO,2012,13.14678001,
AGO,2013,13.59797478,
AGO,2014,14.06704426,
AGO,2015,14.55028057,
AGO,2016,14.96046925,
AGO,2017,15.38931561,
AIA,1950,,
AIA,1951,,
AIA,1952,,
AIA,1953,,
AIA,1954,,
AIA,1955,,
AIA,1956,,
AIA,1957,,
AIA,1958,,
AIA,1959,,
AIA,1960,,
AIA,1961,,
AIA,1962,,
AIA,1963,,
AIA,1964,,
AIA,1965,,
AIA,1966,,
AIA,1967,,
AIA,1968,,
AIA,1969,,
AIA,1970,,
AIA,1971,,
AIA,1972,,
AIA,1973,,
AIA,1974,0.00118,
AIA,1975,0.001273812,
AIA,1976,0.001368088,
AIA,1977,0.001462312,
AIA,1978,0.001556092,
AIA,1979,0.001646042,
AIA,1980,0.001732221,
AIA,1981,0.001806968,
AIA,1982,0.001877485,
AIA,1983,0.001950236,
AIA,1984,0.002041,
AIA,1985,0.002197971,
AIA,1986,0.002394874,
AIA,1987,0.002638867,
AIA,1988,0.002917374,
AIA,1989,0.003214686,
AIA,1990,0.003517116,
AIA,1991,0.003816843,
AIA,1992,0.004121,
AIA,1993,0.004402083,
AIA,1994,0.004685534,
AIA,1995,0.004974731,
AIA,1996,0.005267813,
AIA,1997,0.00556326,
AIA,1998,0.005866656,
AIA,1999,0.006178,
AIA,2000,0.005915336,
AIA,2001,0.005644,
AIA,2002,0.005496,
AIA,2003,,
AIA,2004,,
AIA,2005,,
AIA,2006,,
AIA,2007,,
AIA,2008,,
AIA,2009,,
AIA,2010,,
AIA,2011,,
AIA,2012,,
AIA,2013,,
AIA,2014,,
AIA,2015,,
AIA,2016,,
AIA,2017,,
ALB,1950,,
ALB,1951,,
ALB,1952,,
ALB,1953,,
ALB,1954,,
ALB,1955,,
ALB,1956,,
ALB,1957,,
ALB,1958,,
ALB,1959,,
ALB,1960,,
ALB,1961,,
ALB,1962,,
ALB,1963,,
ALB,1964,,
ALB,1965,,
ALB,1966,,
ALB,1967,,
ALB,1968,,
ALB,1969,,
ALB,1970,0.764294386,
ALB,1971,0.787180066,
ALB,1972,0.809916437,
ALB,1973,0.841725588,
ALB,1974,0.867133558,
ALB,1975,0.893068194,
ALB,1976,0.919717073,
ALB,1977,0.947144568,
ALB,1978,0.975532591,
ALB,1979,1.004965067,
ALB,1980,1.035706997,
ALB,1981,1.072113276,
ALB,1982,1.121668816,
ALB,1983,1.153627396,
ALB,1984,1.178577065,
ALB,1985,1.197857618,
ALB,1986,1.243784547,
ALB,1987,1.289119244,
ALB,1988,1.316996574,
ALB,1989,1.33992672,
ALB,1990,1.334089994,
ALB,1991,1.327281237,
ALB,1992,1.06023562,
ALB,1993,0.998799384,
ALB,1994,1.076446533,
ALB,1995,1.027577877,
ALB,1996,0.988714457,
ALB,1997,0.97516942,
ALB,1998,0.962379336,
ALB,1999,0.955806911,
ALB,2000,0.969356239,
ALB,2001,0.978898883,
ALB,2002,0.98684454,
ALB,2003,0.999965668,
ALB,2004,1.0089674,
ALB,2005,1.010878325,
ALB,2006,1.012176991,
ALB,2007,1.011097431,
ALB,2008,0.962984502,
ALB,2009,0.897428095,
ALB,2010,0.888552666,
ALB,2011,0.902601421,
ALB,2012,0.931091011,
ALB,2013,0.887173414,
ALB,2014,0.893189609,
ALB,2015,0.936920047,
ALB,2016,1.002480268,
ALB,2017,1.0469836,
ARE,1950,,
ARE,1951,,
ARE,1952,,
ARE,1953,,
ARE,1954,,
ARE,1955,,
ARE,1956,,
ARE,1957,,
ARE,1958,,
ARE,1959,,
ARE,1960,,
ARE,1961,,
ARE,1962,,
ARE,1963,,
ARE,1964,,
ARE,1965,,
ARE,1966,,
ARE,1967,,
ARE,1968,,
ARE,1969,,
ARE,1970,0.100037754,
ARE,1971,0.124729648,
ARE,1972,0.156554177,
ARE,1973,0.197282732,
ARE,1974,0.247138008,
ARE,1975,0.305553854,
ARE,1976,0.332113475,
ARE,1977,0.382992029,
ARE,1978,0.436672419,
ARE,1979,0.4899984,
ARE,1980,0.576628447,
ARE,1981,0.592030942,
ARE,1982,0.614876807,
ARE,1983,0.634250879,
ARE,1984,0.65390861,
ARE,1985,0.689657688,
ARE,1986,0.711391449,
ARE,1987,0.761776567,
ARE,1988,0.814278185,
ARE,1989,0.869831502,
ARE,1990,0.927922547,
ARE,1991,0.991074264,
ARE,1992,1.059318781,
ARE,1993,1.131637573,
ARE,1994,1.210067987,
ARE,1995,1.336184025,
ARE,1996,1.376095891,
ARE,1997,1.466749072,
ARE,1998,1.558421016,
ARE,1999,1.660278559,
ARE,2000,1.765191793,
ARE,2001,1.878253698,
ARE,2002,2.010668516,
ARE,2003,2.142065048,
ARE,2004,2.287721157,
ARE,2005,2.525945663,
ARE,2006,2.61060977,
ARE,2007,2.792934656,
ARE,2008,2.984426975,
ARE,2009,3.195271969,
ARE,2010,3.530272484,
ARE,2011,3.701052427,
ARE,2012,3.78366065,
ARE,2013,3.805534363,
ARE,2014,3.816911936,
ARE,2015,3.857451916,
ARE,2016,3.876493454,
ARE,2017,3.891849756,
ARG,1950,7.002744675,2034
ARG,1951,7.113387108,2037.866699
ARG,1952,7.225778103,2041.740845
ARG,1953,7.339944363,2045.622314
ARG,1954,7.455914497,2049.51123
ARG,1955,7.573717117,2053.407471
ARG,1956,7.675888538,2057.311035
ARG,1957,7.779438019,2061.222168
ARG,1958,7.884384155,2065.140625
ARG,1959,7.990746498,2069.06665
ARG,1960,8.098543167,2073
ARG,1961,8.201325417,2066.200439
ARG,1962,8.305410385,2059.42334
ARG,1963,8.4108181,2052.668457
ARG,1964,8.517561913,2045.935547
ARG,1965,8.62566185,2039.224854
ARG,1966,8.731431961,2032.536133
ARG,1967,8.838498116,2025.869385
ARG,1968,8.946878433,2019.224487
ARG,1969,9.056585312,2012.601318
ARG,1970,9.167638779,2006
ARG,1971,9.252182961,2002.661133
ARG,1972,9.340869904,1999.327759
ARG,1973,9.430356026,1996
ARG,1974,9.771412849,1992.842163
ARG,1975,9.829342842,1989.689331
ARG,1976,9.822220802,1986.541504
ARG,1977,10.06952,1983.398682
ARG,1978,10.14081764,1980.260864
ARG,1979,10.29821396,1977.12793
ARG,1980,10.31288719,1974
ARG,1981,10.32363033,1961.230103
ARG,1982,10.4774332,1948.542725
ARG,1983,10.80547714,1935.9375
ARG,1984,11.06645203,1923.413696
ARG,1985,11.15806866,1910.971069
ARG,1986,11.48764515,1898.608887
ARG,1987,11.72461987,1886.32666
ARG,1988,11.95584202,1874.123779
ARG,1989,12.0607338,1862
ARG,1990,12.39390564,1850
ARG,1991,12.78505135,1837.960815
ARG,1992,12.99305344,1826
ARG,1993,12.91049576,1850.337769
ARG,1994,13.41518879,1875
ARG,1995,12.82979202,1881.961182
ARG,1996,13.07940102,1888.94812
ARG,1997,14.07907009,1895.96106
ARG,1998,14.64953327,1903
ARG,1999,14.78926754,1887.285034
ARG,2000,14.81246281,1862.13623
ARG,2001,14.48413563,1811.152588
ARG,2002,13.68793964,1710.036499
ARG,2003,14.38834095,1713.574585
ARG,2004,15.42936993,1730.817261
ARG,2005,16.18148613,1761.399414
ARG,2006,17.05589294,1765.601318
ARG,2007,17.63041306,1780.556519
ARG,2008,17.9597683,1781.424561
ARG,2009,18.05361557,1742.904297
ARG,2010,18.42798233,1751.765503
ARG,2011,18.89559746,1750.974121
ARG,2012,19.30216217,1726.258423
ARG,2013,19.47885895,1714.871094
ARG,2014,19.45875359,1695.364014
ARG,2015,19.78043938,1691.536255
ARG,2016,19.68395424,1691.536255
ARG,2017,19.81498528,1691.536255
ARM,1950,,
ARM,1951,,
ARM,1952,,
ARM,1953,,
ARM,1954,,
ARM,1955,,
ARM,1956,,
ARM,1957,,
ARM,1958,,
ARM,1959,,
ARM,1960,,
ARM,1961,,
ARM,1962,,
ARM,1963,,
ARM,1964,,
ARM,1965,,
ARM,1966,,
ARM,1967,,
ARM,1968,,
ARM,1969,,
ARM,1970,,
ARM,1971,,
ARM,1972,,
ARM,1973,,
ARM,1974,,
ARM,1975,,
ARM,1976,,
ARM,1977,,
ARM,1978,,
ARM,1979,,
ARM,1980,,
ARM,1981,,
ARM,1982,,
ARM,1983,,
ARM,1984,,
ARM,1985,,
ARM,1986,,
ARM,1987,,
ARM,1988,,
ARM,1989,,
ARM,1990,1.832587481,
ARM,1991,1.830118418,
ARM,1992,1.736144662,
ARM,1993,1.748787999,
ARM,1994,1.712764382,
ARM,1995,1.701633215,
ARM,1996,1.634423494,
ARM,1997,1.548608422,
ARM,1998,1.501034021,
ARM,1999,1.448885441,
ARM,2000,1.418872118,
ARM,2001,1.395976901,
ARM,2002,1.215622902,
ARM,2003,1.213100076,
ARM,2004,1.178604126,
ARM,2005,1.190179944,
ARM,2006,1.176214576,
ARM,2007,1.177001476,
ARM,2008,1.184643745,
ARM,2009,1.148024321,
ARM,2010,1.160061955,
ARM,2011,1.15048492,
ARM,2012,1.152013779,
ARM,2013,1.148858666,
ARM,2014,1.125443816,
ARM,2015,1.070321798,
ARM,2016,1.007887483,
ARM,2017,1.01447773,
ATG,1950,,
ATG,1951,,
ATG,1952,,
ATG,1953,,
ATG,1954,,
ATG,1955,,
ATG,1956,,
ATG,1957,,
ATG,1958,,
ATG,1959,,
ATG,1960,,
ATG,1961,,
ATG,1962,,
ATG,1963,,
ATG,1964,,
ATG,1965,,
ATG,1966,,
ATG,1967,,
ATG,1968,,
ATG,1969,,
ATG,1970,,
ATG,1971,,
ATG,1972,,
ATG,1973,,
ATG,1974,,
ATG,1975,,
ATG,1976,,
ATG,1977,,
ATG,1978,,
ATG,1979,,
ATG,1980,,
ATG,1981,,
ATG,1982,,
ATG,1983,,
ATG,1984,,
ATG,1985,,
ATG,1986,,
ATG,1987,,
ATG,1988,,
ATG,1989,,
ATG,1990,,
ATG,1991,0.031367477,
ATG,1992,,
ATG,1993,,
ATG,1994,,
ATG,1995,,
ATG,1996,,
ATG,1997,,
ATG,1998,,
ATG,1999,,
ATG,2000,,
ATG,2001,0.035016999,
ATG,2002,0.034430999,
ATG,2003,0.035073999,
ATG,2004,0.035728,
ATG,2005,0.036394998,
ATG,2006,0.037074,
ATG,2007,0.037765,
ATG,2008,0.03847,
ATG,2009,,
ATG,2010,,
ATG,2011,,
ATG,2012,,
ATG,2013,,
ATG,2014,,
ATG,2015,,
ATG,2016,,
ATG,2017,,
AUS,1950,3.549709558,2178.245605
AUS,1951,3.607461691,2158.101318
AUS,1952,3.666153193,2138.143555
AUS,1953,3.725800037,2118.370117
AUS,1954,3.786417007,2098.779785
AUS,1955,3.848020315,2079.370361
AUS,1956,3.910625458,2060.140625
AUS,1957,3.961817265,2041.088623
AUS,1958,3.996948242,2022.212891
AUS,1959,4.046132565,2003.511597
AUS,1960,4.171601295,1984.983398
AUS,1961,4.183646679,1981.321411
AUS,1962,4.284021854,1977.66626
AUS,1963,4.406479836,1974.017822
AUS,1964,4.564570904,1970.376099
AUS,1965,4.702838421,1966.741089
AUS,1966,4.872372627,1963.112793
AUS,1967,5.024792671,1959.491211
AUS,1968,5.147476196,1955.876221
AUS,1969,5.291389465,1952.267944
AUS,1970,5.492014408,1948.666382
AUS,1971,5.604630947,1929.967041
AUS,1972,5.674668312,1909.567749
AUS,1973,5.822360992,1896.180664
AUS,1974,5.922706604,1913.498779
AUS,1975,5.898386955,1900.218018
AUS,1976,5.985485077,1910.630127
AUS,1977,6.039411068,1912.436401
AUS,1978,6.057281017,1913.286377
AUS,1979,6.137320042,1918.704956
AUS,1980,6.303637981,1919.110229
AUS,1981,6.382689953,1900.644165
AUS,1982,6.366415024,1881.506592
AUS,1983,6.267055511,1869.026855
AUS,1984,6.485201836,1883.686401
AUS,1985,6.709959984,1870.22998
AUS,1986,7.007096767,1880.669922
AUS,1987,7.17300415,1877.531128
AUS,1988,7.446031094,1874.57959
AUS,1989,7.758181572,1887.269653
AUS,1990,7.882875443,1867.951538
AUS,1991,7.710911274,1853.898438
AUS,1992,7.672192097,1851.84082
AUS,1993,7.70390892,1869.620728
AUS,1994,7.960062981,1877.727783
AUS,1995,8.253680229,1875.914795
AUS,1996,8.358826637,1868.759277
AUS,1997,8.419331551,1867.076172
AUS,1998,8.564452171,1851.233765
AUS,1999,8.716160774,1855.829102
AUS,2000,8.937525749,1854.035278
AUS,2001,9.046565056,1818.213013
AUS,2002,9.220230103,1814.102051
AUS,2003,9.432914734,1806.720947
AUS,2004,9.593969345,1805.019775
AUS,2005,9.941121101,1803.010132
AUS,2006,10.18803215,1791.993286
AUS,2007,10.50420475,1792.651489
AUS,2008,10.76290607,1790.540039
AUS,2009,10.8476429,1761.795654
AUS,2010,11.1038847,1769.309448
AUS,2011,11.29709721,1768.649414
AUS,2012,11.40723324,1759.519287
AUS,2013,11.50202084,1755.827148
AUS,2014,11.60895443,1747.937012
AUS,2015,11.85038853,1747.009033
AUS,2016,12.01796246,1734.214966
AUS,2017,12.25908089,1731.494263
AUT,1950,2.941810846,2085.669434
AUT,1951,2.997627497,2083.015625
AUT,1952,2.930385828,2080.365234
AUT,1953,2.898721218,2077.718018
AUT,1954,2.983315706,2075.074219
AUT,1955,3.133820295,2072.433838
AUT,1956,3.229365826,2069.796631
AUT,1957,3.302833557,2067.163086
AUT,1958,3.329539061,2064.532715
AUT,1959,3.379339933,2061.905762
AUT,1960,3.448504925,2059.281982
AUT,1961,3.467419147,2046.629761
AUT,1962,3.451182365,2034.055176
AUT,1963,3.42756176,2021.557983
AUT,1964,3.421865225,2009.137451
AUT,1965,3.39886117,1996.793213
AUT,1966,3.370640039,1984.524902
AUT,1967,3.315694571,1972.331909
AUT,1968,3.272171259,1960.213867
AUT,1969,3.26612711,1948.170288
AUT,1970,3.272708416,1890.137451
AUT,1971,3.308876276,1885.287964
AUT,1972,3.327495813,1905.749878
AUT,1973,3.366836309,1900.731323
AUT,1974,3.413426399,1978.662476
AUT,1975,3.402302504,1903.97168
AUT,1976,3.421141148,1898.042358
AUT,1977,3.456581354,1904.783081
AUT,1978,3.469839573,1844.067627
AUT,1979,3.488252401,1876.68042
AUT,1980,3.51238203,1881.0354
AUT,1981,3.480476141,1819.141235
AUT,1982,3.435873508,1835.118896
AUT,1983,3.436561346,1829.912231
AUT,1984,3.433258295,1825.925537
AUT,1985,3.44110775,1821.530273
AUT,1986,3.444851637,1820.710938
AUT,1987,3.459589958,1808.716309
AUT,1988,3.471370697,1812.131226
AUT,1989,3.515850544,1825.243286
AUT,1990,3.560341358,1826.029785
AUT,1991,3.591025114,1836.444214
AUT,1992,3.594428539,1804.931396
AUT,1993,3.573315859,1802.298096
AUT,1994,3.583720446,1800.538086
AUT,1995,3.5849545,1774.436401
AUT,1996,3.60650897,1807.27063
AUT,1997,3.635558844,1815.692017
AUT,1998,3.672077179,1794.030518
AUT,1999,3.72519803,1797.971313
AUT,2000,3.759931087,1798.432251
AUT,2001,3.785838842,1785.420166
AUT,2002,3.780693769,1782.8479
AUT,2003,3.806158543,1773.977905
AUT,2004,3.825345755,1776.46582
AUT,2005,3.862365246,1752.48938
AUT,2006,3.925340891,1735.669556
AUT,2007,3.997132301,1724.779175
AUT,2008,4.073532581,1717.195068
AUT,2009,4.056693077,1673.075073
AUT,2010,4.096951008,1665.843872
AUT,2011,4.171281338,1671.687744
AUT,2012,4.224022865,1647.852905
AUT,2013,4.243587971,1632.067627
AUT,2014,4.278066158,1621.565796
AUT,2015,4.278058529,1598.894409
AUT,2016,4.299792767,1609.352295
AUT,2017,4.346899986,1613.05188
AZE,1950,,
AZE,1951,,
AZE,1952,,
AZE,1953,,
AZE,1954,,
AZE,1955,,
AZE,1956,,
AZE,1957,,
AZE,1958,,
AZE,1959,,
AZE,1960,,
AZE,1961,,
AZE,1962,,
AZE,1963,,
AZE,1964,,
AZE,1965,,
AZE,1966,,
AZE,1967,,
AZE,1968,,
AZE,1969,,
AZE,1970,,
AZE,1971,,
AZE,1972,,
AZE,1973,,
AZE,1974,,
AZE,1975,,
AZE,1976,,
AZE,1977,,
AZE,1978,,
AZE,1979,,
AZE,1980,,
AZE,1981,,
AZE,1982,,
AZE,1983,,
AZE,1984,,
AZE,1985,,
AZE,1986,,
AZE,1987,,
AZE,1988,,
AZE,1989,,
AZE,1990,3.930712461,
AZE,1991,3.969077826,
AZE,1992,3.958884478,
AZE,1993,3.947166204,
AZE,1994,3.854953766,
AZE,1995,3.833848953,
