countrycode,year,rgdpe,rgdpo
ABW,1950,,
ABW,1951,,
ABW,1952,,
ABW,1953,,
ABW,1954,,
ABW,1955,,
ABW,1956,,
ABW,1957,,
ABW,1958,,
ABW,1959,,
ABW,1960,,
ABW,1961,,
ABW,1962,,
ABW,1963,,
ABW,1964,,
ABW,1965,,
ABW,1966,,
ABW,1967,,
ABW,1968,,
ABW,1969,,
ABW,1970,349.3298035,427.4736023
ABW,1971,380.7711792,466.3200073
ABW,1972,415.3439941,508.6986389
ABW,1973,453.1132202,554.9254761
ABW,1975,536.0870972,660.3627319
ABW,1976,585.8286743,720.3811646
ABW,1977,639.6911621,785.8529663
ABW,1978,698.1192627,857.2732544
ABW,1979,761.8322754,935.1794434
ABW,1980,829.9052734,1020.158325
ABW,1981,905.8244629,1112.880981
ABW,1982,986.2123413,1214.065186
ABW,1983,1077.319946,1324.329102
ABW,1984,1180.481445,1444.726318
ABW,1985,1278.901489,1576.163574
ABW,1986,1401.287231,1718.911621
ABW,1987,1646.053833,1995.846313
ABW,1988,1889.534424,2368.811035
ABW,1989,2194.967773,2514.011475
ABW,1990,2367.424072,2823.240234
ABW,1991,2171.796143,2614.464111
ABW,1992,2915.565186,3294.37793
ABW,1993,3240.374023,3637.588867
ABW,1994,3723.761963,4126.530762
ABW,1995,3480.510742,4030.614746
ABW,1996,3800.291748,4156.239746
ABW,1997,4050.528076,4404.553711
ABW,1998,4089.188232,4518.874023
ABW,1999,3773.730957,4348.495605
ABW,2000,4000.837891,3892.323486
ABW,2001,3934.596191,4312.863281
ABW,2002,3882.553223,3251.352051
ABW,2003,3927.75293,3331.433838
ABW,2004,4201.696777,3727.604004
ABW,2005,4269.41748,3958.794922
ABW,2006,4308.621582,4168.105469
ABW,2007,4532.293457,4233.918457
ABW,2008,4572.100586,4455.197754
ABW,2009,4424.118652,4180.318848
ABW,2010,3971.602051,3767.786133
ABW,2011,3813.092529,3566.133545
ABW,2012,3773.419434,3586.545898
ABW,2013,3868.976563,4217.468262
ABW,2014,3891.432617,3827.771973
ABW,2015,3964.559082,3681.43042
ABW,2016,3896.125732,3101.279785
ABW,2017,3936.451172,3144.35498
AGO,1950,,
AGO,1951,,
AGO,1952,,
AGO,1953,,
AGO,1954,,
AGO,1955,,
AGO,1956,,
AGO,1957,,
AGO,1958,,
AGO,1959,,
AGO,1960,,
AGO,1961,,
AGO,1962,,
AGO,1963,,
AGO,1964,,
AGO,1965,,
AGO,1966,,
AGO,1967,,
AGO,1968,,
AGO,1969,,
AGO,1970,26499.76563,25047.05469
AGO,1971,28091.33008,26741.9707
AGO,1972,28158.81055,26411.17969
AGO,1973,30435.65625,28287.44922
AGO,1974,31364.62305,28453.07031
AGO,1975,29784.2832,26671.63672
AGO,1976,28253.73828,25936.32617
AGO,1977,28553.20313,27101.01953
AGO,1978,26960.93164,24654.34766
AGO,1979,26972.5918,24989.89453
AGO,1980,27635.94727,25335.56836
AGO,1981,27320.91797,25177.26172
AGO,1982,27721.22852,25342.08008
AGO,1983,28123.67578,25404.66016
AGO,1984,31194.74414,27815.41211
AGO,1985,31730.68945,28720.04297
AGO,1986,27391.21289,25545.13477
AGO,1987,31161.3125,28712.16406
AGO,1988,29620.7793,27054.46875
AGO,1989,31226.46875,28780.7168
AGO,1990,32847.78516,31362.82031
AGO,1991,30432.63086,29120.74023
AGO,1992,35049.05078,34297.21094
AGO,1993,30369.34961,29552.37695
AGO,1994,33060.49609,31480.6582
AGO,1995,33426.70313,28140.10742
AGO,1996,44838.22266,35910.44922
AGO,1997,41815.33594,36771.96484
AGO,1998,43436.07422,38671.37891
AGO,1999,45515.23438,37661.81641
AGO,2000,37389.58594,32316.54102
AGO,2001,37317.37109,34724.88281
AGO,2002,42393.36719,39094.16797
AGO,2003,44311.05469,42965.86328
AGO,2004,52615.54297,51902.34375
AGO,2005,65769.65625,70721.60938
AGO,2006,83384,94126.82813
AGO,2007,91420.02344,107016.7188
AGO,2008,109108.0078,132309.0313
AGO,2009,89716.45313,101159.7188
AGO,2010,126393.3203,139946.8594
AGO,2011,165386.625,176579.5469
AGO,2012,173636.8125,195075.0625
AGO,2013,176255.1094,199957.7031
AGO,2014,171844.9531,193347.7969
AGO,2015,147587.1094,154071.3594
AGO,2016,147312.4844,151165.0469
AGO,2017,149057.6406,148737.6719
AIA,1950,,
AIA,1951,,
AIA,1952,,
AIA,1953,,
AIA,1954,,
AIA,1955,,
AIA,1956,,
AIA,1957,,
AIA,1958,,
AIA,1959,,
AIA,1960,,
AIA,1961,,
AIA,1962,,
AIA,1963,,
AIA,1964,,
AIA,1965,,
AIA,1966,,
AIA,1967,,
AIA,1968,,
AIA,1969,,
AIA,1970,57.62243652,54.03350067
AIA,1971,56.18841171,52.70372391
AIA,1972,62.69719315,58.83568954
AIA,1973,65.33886719,61.2970047
AIA,1974,65.19781494,61.07370377
AIA,1975,67.37153625,63.16139221
AIA,1976,68.46268463,64.15077972
AIA,1977,68.75952148,64.4227829
AIA,1978,73.86418152,69.16056824
AIA,1979,80.48782349,75.46675873
AIA,1980,84.05137634,78.45661926
AIA,1981,88.17285156,82.23615265
AIA,1982,88.13426208,82.58862305
AIA,1983,86.9900589,81.08448792
AIA,1984,88.37987518,83.60302734
AIA,1985,99.46561432,91.80814362
AIA,1986,122.3549728,114.0809937
AIA,1987,135.8002167,123.2270584
AIA,1988,138.2029266,129.2111816
AIA,1989,155.7326508,151.3629608
AIA,1990,190.5753021,194.7258606
AIA,1991,150.4138031,148.6828003
AIA,1992,187.8934784,196.4187317
AIA,1993,193.286026,201.1933899
AIA,1994,210.4584198,207.6665344
AIA,1995,201.3058929,206.9174652
AIA,1996,206.037262,198.5845795
AIA,1997,225.30513,196.7394562
AIA,1998,261.1356812,229.1544495
AIA,1999,274.0425415,248.918869
AIA,2000,274.6373596,235.0590668
AIA,2001,272.7945251,232.4652863
AIA,2002,250.5997009,203.6278534
AIA,2003,267.3269043,241.1674194
AIA,2004,315.2666321,276.2374268
AIA,2005,360.9896851,334.9714966
AIA,2006,428.5152893,353.0837402
AIA,2007,515.2106934,421.9906921
AIA,2008,515.8154907,425.8059692
AIA,2009,393.8627319,299.144043
AIA,2010,371.8474121,290.4991455
AIA,2011,376.8639832,294.8410034
AIA,2012,357.6070862,277.2286682
AIA,2013,353.9234924,250.5323181
AIA,2014,375.968811,262.7253418
AIA,2015,391.0684204,242.7325439
AIA,2016,373.9188538,227.3075562
AIA,2017,343.0919495,206.8903351
ALB,1950,,
ALB,1951,,
ALB,1952,,
ALB,1953,,
ALB,1954,,
ALB,1955,,
ALB,1956,,
ALB,1957,,
ALB,1958,,
ALB,1959,,
ALB,1960,,
ALB,1961,,
ALB,1962,,
ALB,1963,,
ALB,1964,,
ALB,1965,,
ALB,1966,,
ALB,1967,,
ALB,1968,,
ALB,1969,,
ALB,1970,6176.342285,6082.047363
ALB,1971,6424.566406,6319.226563
ALB,1972,6683.491699,6580.308594
ALB,1973,6950.462891,6844.453613
ALB,1974,7229.559082,7133.587402
ALB,1975,7521.177246,7414.612305
ALB,1976,7811.993652,7683.396973
ALB,1977,8141.603516,8009.064941
ALB,1978,8472.650391,8364.108398
ALB,1979,8750.356445,8591.680664
ALB,1980,9216.06543,9050.260742
ALB,1981,9544.104492,9419.879883
ALB,1982,9636.575195,9451.462891
ALB,1983,9985.782227,9761.046875
ALB,1984,10131.28027,9857.578125
ALB,1985,10210.32129,9950.552734
ALB,1986,10793.5293,10453.98633
ALB,1987,10970.12598,10643.75781
ALB,1988,10744.11719,10427.64063
ALB,1989,11566.39746,11289.35547
ALB,1990,11071.8291,10961.45801
ALB,1991,9092.632813,9767.679688
ALB,1992,7055.983887,8803.711914
ALB,1993,8660.592773,10136.96387
ALB,1994,10411.50684,11463.7627
ALB,1995,11244.90039,12363.16797
ALB,1996,12628.37891,13629.20508
ALB,1997,11601.54492,12722.62988
ALB,1998,12858.33301,14037.06543
ALB,1999,13829.96289,14938.74414
ALB,2000,13978.83301,15043.42676
ALB,2001,14638.73145,15638.27441
ALB,2002,15112.74805,15931.50098
ALB,2003,16077.83008,16523.42188
ALB,2004,17084.94336,16953.07617
ALB,2005,18008.24023,18230.44727
ALB,2006,19568.56836,19681.89648
ALB,2007,21211.17578,21020.66602
ALB,2008,23183.30859,23369.83789
ALB,2009,24842.51758,25039.5918
ALB,2010,27179.69922,28066.54688
ALB,2011,28091.71484,29307.56641
ALB,2012,28962.36328,30376.10156
ALB,2013,28444.0918,29031.74023
ALB,2014,29826.75,30528.9707
ALB,2015,31501.30664,32826.17578
ALB,2016,31732.01758,32826.16406
ALB,2017,34074.75781,34989.94141
ARE,1950,,
ARE,1951,,
ARE,1952,,
ARE,1953,,
ARE,1954,,
ARE,1955,,
ARE,1956,,
ARE,1957,,
ARE,1958,,
ARE,1959,,
ARE,1960,,
ARE,1961,,
ARE,1962,,
ARE,1963,,
ARE,1964,,
ARE,1965,,
ARE,1966,,
ARE,1967,,
ARE,1968,,
ARE,1969,,
ARE,1970,60148.54688,60616.16797
ARE,1971,70226.82813,69312.76563
ARE,1972,77927.75,64945.77734
ARE,1973,89591.46094,73624.375
ARE,1974,103727.7891,72914.17188
ARE,1975,116695.5625,93232.15625
ARE,1976,140078.9531,112239.2188
ARE,1977,171388.9219,146618.7344
ARE,1978,157561.7344,140843.6875
ARE,1979,185246.5469,168775.5469
ARE,1980,224864.0781,264067
ARE,1981,217987.2031,247751.9688
ARE,1982,201190.1719,225910.7344
ARE,1983,189314.1563,208475.3281
ARE,1984,195029.7969,210128.3125
ARE,1985,181402.7656,194064.3906
ARE,1986,150694.7813,161217.8594
ARE,1987,148693.5,139101.7188
ARE,1988,143077.6406,154897.8906
ARE,1989,160343.3438,179422.2344
ARE,1990,192819.1719,211259.5781
ARE,1991,194952.7031,196790.875
ARE,1992,202916.6406,205706.5313
ARE,1993,166098.625,163644.0781
ARE,1994,173434.3594,174871
ARE,1995,190158.6719,192758.9531
ARE,1996,205032.5313,204597.7969
ARE,1997,222415.6094,219074.0938
ARE,1998,207505.2344,209033.0469
ARE,1999,229084.875,225689.5625
ARE,2000,285515.4688,276503.4688
ARE,2001,287613.2188,283097.125
ARE,2002,296712.7813,283349.7813
ARE,2003,320206.9688,311839.9375
ARE,2004,348434.5938,336112.0938
ARE,2005,401367.2188,404897.9375
ARE,2006,469390.75,479286.3125
ARE,2007,509341.2813,526311.5
ARE,2008,548403.6875,577371.375
ARE,2009,469198.7188,481391.6563
ARE,2010,475185.5,493821.1563
ARE,2011,554952.4375,581796.5
ARE,2012,583735,641633.375
ARE,2013,609991.25,670902.5625
ARE,2014,648268.125,713277.75
ARE,2015,595930.9375,617637.5625
ARE,2016,598191.5,607048.125
ARE,2017,616531,615713.6875
ARG,1950,45306.71875,44616.00391
ARG,1951,47450.91016,45716.78125
ARG,1952,42930.6875,41715.07031
ARG,1953,44623.89453,44491.73438
ARG,1954,46663.63672,46532.05078
ARG,1955,50985.10156,49922.39453
ARG,1956,52239.04688,51232.21484
ARG,1957,54683.16016,53921.76172
ARG,1958,58894.01563,58018.57031
ARG,1959,55835.02734,54655.98828
ARG,1960,60229.55859,58812.77344
ARG,1961,63129.36719,60724.01563
ARG,1962,60124.90234,61832.53125
ARG,1963,59621.48828,59645.05859
ARG,1964,63714.92578,62665.375
ARG,1965,73444.39063,70379.99219
ARG,1966,73028.4375,71934.11719
ARG,1967,76292.10156,74367.89844
ARG,1968,78486.08594,76551.14063
ARG,1969,85431.47656,84110.97656
ARG,1970,87146.42969,86579.46875
ARG,1971,91185.8125,89191.32813
ARG,1972,93362.08594,90744.72656
ARG,1973,98596.80469,95838.8125
ARG,1974,103148.5469,100340.4531
ARG,1975,102031.0938,99074.30469
ARG,1976,100845.7734,99264.07031
ARG,1977,104919.5391,106117.2031
ARG,1978,101635.5234,104502.4766
ARG,1979,110967,111184.2969
ARG,1980,117425.0938,111813.9609
ARG,1981,116398,112691.0078
ARG,1982,116453.3438,118223.1875
ARG,1983,127224.0234,128109.8516
ARG,1984,135825.9219,136512.9375
ARG,1985,130225.5391,133327.2344
ARG,1986,148302.5313,148334.6875
ARG,1987,159478.3594,157959.0156
ARG,1988,167214.9063,168224.5313
ARG,1989,164297.2344,161921.1406
ARG,1990,176945.6563,181775.8281
ARG,1991,212658.3906,213986.5
ARG,1992,255975.4844,252071.6406
ARG,1993,294510,289539.4688
ARG,1994,344104.5313,337477.2188
ARG,1995,381883.375,378327.0938
ARG,1996,494531.4375,489127.0313
ARG,1997,512509.5938,504991.6875
ARG,1998,514715.5313,503958.1875
ARG,1999,482480.7813,474434.9375
ARG,2000,476911.9688,471358
ARG,2001,444805.7188,443034.4688
ARG,2002,412180.0938,379488.25
ARG,2003,434373.5,411725.4688
ARG,2004,467625.875,450377.6563
ARG,2005,499684.625,489787.6563
ARG,2006,544735.4375,532171.125
ARG,2007,597156,585903.375
ARG,2008,634142.3125,625483.6875
ARG,2009,595623.75,583469.0625
ARG,2010,661334.3125,653054.75
ARG,2011,717974.4375,709658.875
ARG,2012,714253.0625,714301.875
ARG,2013,727663.4375,719807.625
ARG,2014,704620.0625,697732.5625
ARG,2015,723928.4375,712662.625
ARG,2016,716254.875,705317.1875
ARG,2017,742486.125,728999.375
ARM,1950,,
ARM,1951,,
ARM,1952,,
ARM,1953,,
ARM,1954,,
ARM,1955,,
ARM,1956,,
ARM,1957,,
ARM,1958,,
ARM,1959,,
ARM,1960,,
ARM,1961,,
ARM,1962,,
ARM,1963,,
ARM,1964,,
ARM,1965,,
ARM,1966,,
ARM,1967,,
ARM,1968,,
ARM,1969,,
ARM,1970,,
ARM,1971,,
ARM,1972,,
ARM,1973,,
ARM,1974,,
ARM,1975,,
ARM,1976,,
ARM,1977,,
ARM,1978,,
ARM,1979,,
ARM,1980,,
ARM,1981,,
ARM,1982,,
ARM,1983,,
ARM,1984,,
ARM,1985,,
ARM,1986,,
ARM,1987,,
ARM,1988,,
ARM,1989,,
ARM,1990,21787.73047,22040.22266
ARM,1991,19595.0625,19958.79688
ARM,1992,11206.7041,11433.2793
ARM,1993,9977.129883,11008.39941
ARM,1994,8314.59375,8579.711914
ARM,1995,8726.103516,8925.911133
ARM,1996,9223.702148,9832.019531
ARM,1997,8690.538086,10226.1748
ARM,1998,8824.830078,9332.791016
ARM,1999,8873.59082,10267.41895
ARM,2000,9237.533203,10510.39063
ARM,2001,10066.33496,11114.84375
ARM,2002,11272.90332,12028.68359
ARM,2003,12711.07813,13692.39258
ARM,2004,13974.18555,14584.17773
ARM,2005,15746.30078,16196.87109
ARM,2006,18051.74805,18483.00195
ARM,2007,20944.15625,21014.27148
ARM,2008,22357.44531,22963.06836
ARM,2009,20365.94531,21363.99023
ARM,2010,22165.25,23659.9707
ARM,2011,24617.98633,26272.9082
ARM,2012,25434.63672,27215.41406
ARM,2013,25979.99414,27434.83398
ARM,2014,26705.04102,28157.2793
ARM,2015,26741.68945,27191.95117
ARM,2016,26964.81641,27437.77539
ARM,2017,29174.46875,29838.66406
ATG,1950,,
ATG,1951,,
ATG,1952,,
ATG,1953,,
ATG,1954,,
ATG,1955,,
ATG,1956,,
ATG,1957,,
ATG,1958,,
ATG,1959,,
ATG,1960,,
ATG,1961,,
ATG,1962,,
ATG,1963,,
ATG,1964,,
ATG,1965,,
ATG,1966,,
ATG,1967,,
ATG,1968,,
ATG,1969,,
ATG,1970,282.339325,341.9008484
ATG,1971,303.2737732,367.8321533
ATG,1972,325.5253296,394.0980835
ATG,1973,351.7905884,423.9011841
ATG,1974,368.0225525,411.2253113
ATG,1975,346.1002502,382.9362793
ATG,1976,313.7268982,344.4590454
ATG,1977,335.9721985,383.4836121
ATG,1978,339.2679138,388.038269
ATG,1979,421.4320679,488.6073608
ATG,1980,405.7739563,419.1360168
ATG,1981,423.1584473,449.8402405
ATG,1982,534.5087891,466.207489
ATG,1983,546.425293,560.1513062
ATG,1984,472.7955627,519.1793213
ATG,1985,511.2434998,433.4667358
ATG,1986,618.1727905,564.7613525
ATG,1987,650.9076538,607.8196411
ATG,1988,721.8615723,638.3535767
ATG,1989,747.4396362,680.5489502
ATG,1990,781.0310059,721.9634399
ATG,1991,794.0166626,713.3540039
ATG,1992,815.8249512,712.5234985
ATG,1993,873.916748,727.4804077
ATG,1994,928.9282837,797.8448486
ATG,1995,893.2926636,731.4232178
ATG,1996,942.9741211,793.2017212
ATG,1997,998.1158447,815.9994507
ATG,1998,1066.375732,561.095459
ATG,1999,1113.412354,822.2058105
ATG,2000,1188.923462,1022.003113
ATG,2001,1184.431274,826.5647583
ATG,2002,1234.141602,854.972229
ATG,2003,1281.579102,961.494751
ATG,2004,1379.455688,777.5115356
ATG,2005,1459.01001,1156.964966
ATG,2006,1652.971558,1303.546265
ATG,2007,1865.924805,1638.934937
ATG,2008,1965.653442,1678.505737
ATG,2009,1846.932983,1609.312256
ATG,2010,1743.340332,1624.58728
ATG,2011,1757.89856,1705.090332
ATG,2012,1807.842163,1763.128052
ATG,2013,1806.379883,1731.84375
ATG,2014,1611.201172,500.5272217
ATG,2015,1704.035034,943.836731
ATG,2016,1919.391357,842.0570679
ATG,2017,2067.191162,803.8215332
AUS,1950,113607.1797,103013.5
AUS,1951,106139.8203,99811.51563
AUS,1952,103085.4375,97966.32031
AUS,1953,114691.0391,110735.2969
AUS,1954,122471.8906,119143.6016
AUS,1955,126965.4063,125153.5703
AUS,1956,129516.0938,126852.4375
AUS,1957,129437.5078,127705.4063
AUS,1958,138452.1094,138138.3125
AUS,1959,148550.9531,147163.8281
AUS,1960,150407.0156,149499.4531
AUS,1961,154037.4531,153787.3438
AUS,1962,163221.7813,162300.2031
AUS,1963,177064.0313,173808.1719
AUS,1964,185150.4063,182566.5
AUS,1965,187980.9844,184846.8438
AUS,1966,200532.625,197652.4531
AUS,1967,208644.0938,206638.4375
AUS,1968,225678.8594,222428.4844
AUS,1969,242919.3438,239444.8438
AUS,1970,250441.1406,248831.3906
AUS,1971,257807.6406,258319.4375
AUS,1972,270256.3125,266362.2188
AUS,1973,284649.125,278385.6875
AUS,1974,273150.2188,267376.2188
AUS,1975,274177.8125,272623.9375
AUS,1976,285668.9688,284996.9375
AUS,1977,287684.5625,290213.0313
AUS,1978,302657.6875,304091.3438
AUS,1979,313169.5,314012.625
AUS,1980,323898.0313,324801.1563
AUS,1981,340093.375,339712.4375
AUS,1982,331381.9063,331161.9688
AUS,1983,350654.9688,351046.25
AUS,1984,363966.4063,364944.5625
AUS,1985,375384.6875,374576
AUS,1986,381514.5625,384161.6875
AUS,1987,410424.9375,415000.9063
AUS,1988,440347.125,439722.8438
AUS,1989,460902.7188,457136.4063
AUS,1990,456197.2813,457569.9375
AUS,1991,455929.1875,456337.1563
AUS,1992,474114.7188,474817.9375
AUS,1993,493528.9688,491950.4375
AUS,1994,518687,513887
AUS,1995,544356,540244.3125
AUS,1996,573254.4375,571190.875
AUS,1997,603284.4375,600481.5625
AUS,1998,630928,620507.3125
AUS,1999,664248.375,651636.75
AUS,2000,674098.75,671467.1875
AUS,2001,698475,692855.0625
AUS,2002,718334.5,709405.25
AUS,2003,753198.3125,740710.1875
AUS,2004,781467.4375,767738.9375
AUS,2005,808051.625,824074.0625
AUS,2006,837426,841303.3125
AUS,2007,865888.4375,864473.8125
AUS,2008,881346.6875,911606.6875
AUS,2009,894703.1875,907823.1875
AUS,2010,952407.0625,992193.25
